title,image_id,source_url,cloudinary_secure_url,cloudinary_public_id,status,error
'Blood Feather' Sculpture,jynrrydeckyp48iu,https://maphub.net/media/images/j/yn/jynrrydeckyp48iu/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759460/public-art-map/jynrrydeckyp48iu.jpg,public-art-map/jynrrydeckyp48iu,ok,
'Branding the Brazos' Sculptures,odue5lnbq77ortfn,https://maphub.net/media/images/o/du/odue5lnbq77ortfn/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759460/public-art-map/odue5lnbq77ortfn.jpg,public-art-map/odue5lnbq77ortfn,ok,
'Divine Servant' Sculpture,ibaynwyjjpa5ux6d,https://maphub.net/media/images/i/ba/ibaynwyjjpa5ux6d/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759461/public-art-map/ibaynwyjjpa5ux6d.jpg,public-art-map/ibaynwyjjpa5ux6d,ok,
"'Florence, The Oaxcan Cow' Sculpture",th0yoetmo9m4ocyu,https://maphub.net/media/images/t/h0/th0yoetmo9m4ocyu/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759462/public-art-map/th0yoetmo9m4ocyu.jpg,public-art-map/th0yoetmo9m4ocyu,ok,
'Friendship is for All Seasons' Sculpture,fz73yzzmetkxyy9b,https://maphub.net/media/images/f/z7/fz73yzzmetkxyy9b/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759461/public-art-map/fz73yzzmetkxyy9b.jpg,public-art-map/fz73yzzmetkxyy9b,ok,
'Las Mesas' Sculpture,hqhw85hgpgoneqpx,https://maphub.net/media/images/h/qh/hqhw85hgpgoneqpx/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759462/public-art-map/hqhw85hgpgoneqpx.jpg,public-art-map/hqhw85hgpgoneqpx,ok,
'Spadix' Sculpture,nalrksqsjenw5jfs,https://maphub.net/media/images/n/al/nalrksqsjenw5jfs/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759462/public-art-map/nalrksqsjenw5jfs.jpg,public-art-map/nalrksqsjenw5jfs,ok,
1000 Hopes for Waco Mural,vxzb0somdyqsbhwg,https://maphub.net/media/images/v/xz/vxzb0somdyqsbhwg/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759463/public-art-map/vxzb0somdyqsbhwg.jpg,public-art-map/vxzb0somdyqsbhwg,ok,
A Message of Hope Mural,iw9ckwquwdp31qsy,https://maphub.net/media/images/i/w9/iw9ckwquwdp31qsy/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759463/public-art-map/iw9ckwquwdp31qsy.jpg,public-art-map/iw9ckwquwdp31qsy,ok,
Abstract Brush & Line Mural,cqu7nrf4gtqudpdn,https://maphub.net/media/images/c/qu/cqu7nrf4gtqudpdn/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759463/public-art-map/cqu7nrf4gtqudpdn.jpg,public-art-map/cqu7nrf4gtqudpdn,ok,
Abstract Mural,fxrwjddoaf6juexo,https://maphub.net/media/images/f/xr/fxrwjddoaf6juexo/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759464/public-art-map/fxrwjddoaf6juexo.jpg,public-art-map/fxrwjddoaf6juexo,ok,
African Lion,0zlrlqswjonv7zso,https://maphub.net/media/images/0/zl/0zlrlqswjonv7zso/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759464/public-art-map/0zlrlqswjonv7zso.jpg,public-art-map/0zlrlqswjonv7zso,ok,
Afro Pach-Patch,k7lxkisphkosgw52,https://maphub.net/media/images/k/7l/k7lxkisphkosgw52/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759464/public-art-map/k7lxkisphkosgw52.jpg,public-art-map/k7lxkisphkosgw52,ok,
Altogether Beautiful,uksszxojwix3ygz6,https://maphub.net/media/images/u/ks/uksszxojwix3ygz6/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759465/public-art-map/uksszxojwix3ygz6.jpg,public-art-map/uksszxojwix3ygz6,ok,
Ambold's Mural,biy6ugdllbq9vsps,https://maphub.net/media/images/b/iy/biy6ugdllbq9vsps/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759465/public-art-map/biy6ugdllbq9vsps.jpg,public-art-map/biy6ugdllbq9vsps,ok,
American Alligator,f8e4mrnabim7y16t,https://maphub.net/media/images/f/8e/f8e4mrnabim7y16t/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759465/public-art-map/f8e4mrnabim7y16t.jpg,public-art-map/f8e4mrnabim7y16t,ok,
Ana's Taxes Wings,rlvkmw8lpvrcbew8,https://maphub.net/media/images/r/lv/rlvkmw8lpvrcbew8/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759466/public-art-map/rlvkmw8lpvrcbew8.jpg,public-art-map/rlvkmw8lpvrcbew8,ok,
Art Center Waco,rayg0mfuxa5qx7pr,https://maphub.net/media/images/r/ay/rayg0mfuxa5qx7pr/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759466/public-art-map/rayg0mfuxa5qx7pr.jpg,public-art-map/rayg0mfuxa5qx7pr,ok,
Art Center Waco,yzmf5letughtcngu,https://maphub.net/media/images/y/zm/yzmf5letughtcngu/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759466/public-art-map/yzmf5letughtcngu.jpg,public-art-map/yzmf5letughtcngu,ok,
Art Center Waco,7ie2ptykybkvvdq3,https://maphub.net/media/images/7/ie/7ie2ptykybkvvdq3/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759467/public-art-map/7ie2ptykybkvvdq3.jpg,public-art-map/7ie2ptykybkvvdq3,ok,
Art Center Waco,xez2vhvxl2dcxahl,https://maphub.net/media/images/x/ez/xez2vhvxl2dcxahl/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759467/public-art-map/xez2vhvxl2dcxahl.jpg,public-art-map/xez2vhvxl2dcxahl,ok,
Art Center Waco,mgrryov0ponno08x,https://maphub.net/media/images/m/gr/mgrryov0ponno08x/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759467/public-art-map/mgrryov0ponno08x.jpg,public-art-map/mgrryov0ponno08x,ok,
Art Center Waco,jzsocuthvvx5rgqb,https://maphub.net/media/images/j/zs/jzsocuthvvx5rgqb/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759467/public-art-map/jzsocuthvvx5rgqb.jpg,public-art-map/jzsocuthvvx5rgqb,ok,
Art Center Waco,smraeufzwprqzana,https://maphub.net/media/images/s/mr/smraeufzwprqzana/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/smraeufzwprqzana.jpg,public-art-map/smraeufzwprqzana,ok,
Baby Giraffe,1zn1jlzqe6llqk2y,https://maphub.net/media/images/1/zn/1zn1jlzqe6llqk2y/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/1zn1jlzqe6llqk2y.jpg,public-art-map/1zn1jlzqe6llqk2y,ok,
Bats Taking Flight,wf8zgal3h3yxyvqy,https://maphub.net/media/images/w/f8/wf8zgal3h3yxyvqy/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/wf8zgal3h3yxyvqy.jpg,public-art-map/wf8zgal3h3yxyvqy,ok,
Baylor Mural,xzi94aols3v784cw,https://maphub.net/media/images/x/zi/xzi94aols3v784cw/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759470/public-art-map/xzi94aols3v784cw.jpg,public-art-map/xzi94aols3v784cw,ok,
Beaver,cdjuqaierp1ezrb6,https://maphub.net/media/images/c/dj/cdjuqaierp1ezrb6/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759469/public-art-map/cdjuqaierp1ezrb6.jpg,public-art-map/cdjuqaierp1ezrb6,ok,
