"title","drive_file_id","source_url","cloudinary_secure_url","cloudinary_public_id","status","error"
"Centerpoint and Waco","1yWhJ8buFM-z8faYA54P5cvyhcl98IX7l","https://drive.google.com/file/d/1yWhJ8buFM-z8faYA54P5cvyhcl98IX7l/view?usp=drive_link","","","error","Drive file 1yWhJ8buFM-z8faYA54P5cvyhcl98IX7l is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"Lake Air and Waco","1p7_kdoAp8TrQBP4sPU3mbngVuXxz182V","https://drive.google.com/file/d/1p7_kdoAp8TrQBP4sPU3mbngVuXxz182V/view?usp=drive_link","","","error","Drive file 1p7_kdoAp8TrQBP4sPU3mbngVuXxz182V is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"Towne Oaks and Waco","1G-Wm1fv8X6C6jzj7AIIVFT6KGXAbx5x_","https://drive.google.com/file/d/1G-Wm1fv8X6C6jzj7AIIVFT6KGXAbx5x_/view?usp=drive_link","","","error","Drive file 1G-Wm1fv8X6C6jzj7AIIVFT6KGXAbx5x_ is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"Talbots and Waco","1E-f8ewRrSOc28T2PoKLqu6xD8Jv2seZu","https://drive.google.com/file/d/1E-f8ewRrSOc28T2PoKLqu6xD8Jv2seZu/view?usp=drive_link","","","error","Drive file 1E-f8ewRrSOc28T2PoKLqu6xD8Jv2seZu is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"New Rd and Waco","1oNVT1272Y8xf50cvZ_l6NnW3Y-mznH-a","https://drive.google.com/file/d/1oNVT1272Y8xf50cvZ_l6NnW3Y-mznH-a/view?usp=drive_link","","","error","Drive file 1oNVT1272Y8xf50cvZ_l6NnW3Y-mznH-a is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"Valley Mills and Waco","13I8vKyQA_5MjUQcf2HvxSI1ZLl5qTeJE","https://drive.google.com/file/d/13I8vKyQA_5MjUQcf2HvxSI1ZLl5qTeJE/view?usp=drive_link","","","error","Drive file 13I8vKyQA_5MjUQcf2HvxSI1ZLl5qTeJE is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"38th and Waco","1_PxoAc6NCySHQjLyBRvCpHk7uT4YHTSo","https://drive.google.com/file/d/1_PxoAc6NCySHQjLyBRvCpHk7uT4YHTSo/view?usp=drive_link","","","error","Drive file 1_PxoAc6NCySHQjLyBRvCpHk7uT4YHTSo is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"36th and Waco","1BsT0mN-49p1um71SBiVkrYt_jy8JBrrG","https://drive.google.com/file/d/1BsT0mN-49p1um71SBiVkrYt_jy8JBrrG/view?usp=sharing","","","error","Drive file 1BsT0mN-49p1um71SBiVkrYt_jy8JBrrG is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"29th and Waco","1ILvpLHfUrum1POp27O3obb0JZM-gqnll","https://drive.google.com/file/d/1ILvpLHfUrum1POp27O3obb0JZM-gqnll/view?usp=drive_link","","","error","Drive file 1ILvpLHfUrum1POp27O3obb0JZM-gqnll is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"25th/26th and Waco","1DOBbUh0ktUQshqG98A5B_95tJc19dDjA","https://drive.google.com/file/d/1DOBbUh0ktUQshqG98A5B_95tJc19dDjA/view?usp=drive_link","","","error","Drive file 1DOBbUh0ktUQshqG98A5B_95tJc19dDjA is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"18th and Waco Dr","1fvW6jbQ9TI2WlNYAMdUPrz-4zfACL1yP","https://drive.google.com/file/d/1fvW6jbQ9TI2WlNYAMdUPrz-4zfACL1yP/view?usp=drive_link","","","error","Drive file 1fvW6jbQ9TI2WlNYAMdUPrz-4zfACL1yP is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
"15th and Waco","1E0zqRQAbUQd2r1glf26SVfdliXvmL5h5","https://drive.google.com/file/d/1E0zqRQAbUQd2r1glf26SVfdliXvmL5h5/view?usp=drive_link","","","error","Drive file 1E0zqRQAbUQd2r1glf26SVfdliXvmL5h5 is not publicly downloadable (redirected to Google login). Set sharing to ""Anyone with the link"" or use Drive API OAuth."
